movie_name,quote,ranking,score,score_num
小萝莉的猴神大叔,宝莱坞的萝莉与大叔。,207,8.5,223420
步履不停,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,208,8.8,114681
新龙门客栈,嬉笑怒骂，调风动月。,209,8.5,226955
源代码,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,210,8.4,473928
三块广告牌,,211,8.7,398884
终结者2：审判日,少见的超越首部的续集，动作片中的经典。,212,8.6,172173
东京物语,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,213,9.2,63608
初恋这件小事,黑小鸭速效美白记。,214,8.3,557021
疯狂的石头,中国版《两杆大烟枪》。,215,8.3,390742
爱在午夜降临前,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,216,8.8,144292
城市之光,永远的小人物，伟大的卓别林。,217,9.3,56454
无耻混蛋,昆汀同学越来越变态了，比北野武还杜琪峰。,218,8.5,263070
绿里奇迹,天使暂时离开。,219,8.7,128541
末路狂花,没有了退路，只好飞向自由。,220,8.7,124127
这个男人来自地球,科幻真正的魅力不是视觉效果能取代的。 ,221,8.5,219214
E.T. 外星人,生病的E.T.皮肤的颜色就像柿子饼。,222,8.5,187148
勇闯夺命岛,类型片的极致。 ,223,8.6,165623
彗星来的那一夜,小成本大魅力。,224,8.4,234324
秒速5厘米,青春就是放弃和怀念。,225,8.3,365252
血钻,每个美丽事物背后都是滴血的现实。,227,8.6,166109
黄金三镖客,最棒的西部片。,228,9.1,63263
发条橙,我完全康复了。,229,8.5,215024
聚焦,新闻人的理性求真。,230,8.8,154560
卡萨布兰卡,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,231,8.6,145569
碧海蓝天,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,232,8.7,117420
非常嫌疑犯,我不信仰上帝，但我敬畏上帝。,233,8.6,143629
美国丽人,每个人的内心都是深不可测的大海。 ,234,8.5,216377
国王的演讲,皇上无话儿。,235,8.3,397027
天书奇谭,传奇的年代，醉人的童话。,236,9.1,64353
